"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
1,108633025E2;5,594448563E1;-3,382968290E0;3,398085567E1;8,844219971E1;1,011999989E1;2,353999939E2;1,102121974E0;8,233248711E0;5,667168617E0;1,900000000E1
1,118633025E2;5,594445588E1;-3,383114070E0;3,441754673E1;8,887921143E1;9,850000381E0;2,356999969E2;1,112596646E0;8,452088356E0;5,825885773E0;1,800000000E1
1,128633025E2;5,594440575E1;-3,383256490E0;3,492143628E1;8,938342285E1;1,022000027E1;2,356000061E2;1,121565275E0;8,950576782E0;5,905597210E0;1,600000000E1
1,138633025E2;5,594439136E1;-3,383398210E0;3,553239761E1;8,999468994E1;9,210000038E0;2,363999939E2;1,132068681E0;8,430549622E0;5,912166119E0;1,700000000E1
1,148633025E2;5,594433904E1;-3,383538650E0;3,532608539E1;8,978869629E1;9,939999580E0;2,361000061E2;1,141905943E0;8,423262596E0;5,974401951E0;1,600000000E1
1,158633025E2;5,594429805E1;-3,383678650E0;3,553902923E1;9,000195312E1;9,609999657E0;2,368999939E2;1,152289541E0;8,431847572E0;6,139747620E0;1,500000000E1
1,168633025E2;5,594425224E1;-3,383823960E0;3,534888369E1;8,981213379E1;9,760000229E0;2,371999969E2;1,161636222E0;9,081175804E0;6,331167698E0;1,400000000E1
1,178633025E2;5,594420114E1;-3,383943140E0;3,506498026E1;8,952850342E1;1,018999958E1;2,371999969E2;1,172417273E0;9,519644737E0;6,518760681E0;1,500000000E1
1,188633025E2;5,594417303E1;-3,384108840E0;3,515171534E1;8,961560059E1;9,310000420E0;2,378000031E2;1,181706666E0;9,953127861E0;6,949201584E0;1,300000000E1
1,198633025E2;5,594413085E1;-3,384237610E0;3,516845445E1;8,963262939E1;9,229999542E0;2,380000000E2;1,190977795E0;1,089333057E1;7,354202271E0;1,300000000E1
1,208633025E2;5,594409060E1;-3,384368000E0;3,505646779E1;8,952093506E1;9,649999619E0;2,361999969E2;1,201573631E0;1,084602165E1;7,735168457E0;1,200000000E1
1,218633025E2;5,594402973E1;-3,384498920E0;3,453571914E1;8,900048828E1;9,500000000E0;2,368000031E2;1,211292900E0;1,120071220E1;7,795633316E0;1,200000000E1
1,228633025E2;5,594397971E1;-3,384626920E0;3,432101139E1;8,878607178E1;9,520000458E0;2,370000000E2;1,220959506E0;1,000967884E1;7,989009380E0;1,200000000E1
1,238633025E2;5,594393890E1;-3,384763990E0;3,440041664E1;8,886578369E1;9,449999809E0;2,373000031E2;1,231047087E0;1,030892086E1;8,146893501E0;1,200000000E1
1,248633025E2;5,594390722E1;-3,384915790E0;3,440447707E1;8,887017822E1;9,680000305E0;2,378999939E2;1,240407766E0;9,279138565E0;7,846273422E0;1,300000000E1
1,258633025E2;5,594385395E1;-3,385032190E0;3,358456794E1;8,805053711E1;9,189999580E0;2,373999939E2;1,250598744E0;9,022808075E0;7,485866547E0;1,300000000E1
1,268633025E2;5,594379102E1;-3,385151170E0;3,353027442E1;8,799652100E1;9,310000420E0;2,371000061E2;1,259643169E0;8,638907433E0;7,786098003E0;1,300000000E1
1,278633025E2;5,594375125E1;-3,385277870E0;3,451198477E1;8,897851562E1;9,350000381E0;2,373999939E2;1,268290044E0;8,591713905E0;7,711282730E0;1,300000000E1
1,288633025E2;5,594370847E1;-3,385393830E0;3,447241535E1;8,893920898E1;8,550000191E0;2,375000000E2;1,278274912E0;8,694550514E0;7,928584576E0;1,400000000E1
1,298633025E2;5,594365798E1;-3,385526430E0;3,458222165E1;8,904931641E1;8,819999695E0;2,373999939E2;1,287066238E0;8,503756523E0;8,188570976E0;1,300000000E1
1,308633025E2;5,594362626E1;-3,385655750E0;3,364303132E1;8,811041260E1;8,369999886E0;2,380000000E2;1,296541555E0;7,795962811E0;8,334257126E0;1,300000000E1
1,318633025E2;5,594358094E1;-3,385784610E0;3,330088233E1;8,776855469E1;8,659999847E0;2,380000000E2;1,305348464E0;8,266674042E0;8,655208588E0;1,300000000E1
1,328633025E2;5,594353655E1;-3,385901740E0;3,334450072E1;8,781243896E1;9,229999542E0;2,378999939E2;1,315908532E0;8,387499809E0;8,692701340E0;1,300000000E1
1,338633025E2;5,594352167E1;-3,386069230E0;3,311788300E1;8,758618164E1;9,050000191E0;2,391999969E2;1,324381299E0;8,628355026E0;9,305072784E0;1,500000000E1
1,348633025E2;5,594348265E1;-3,386186100E0;3,368036401E1;8,814892578E1;9,039999962E0;2,390000000E2;1,333427472E0;9,530394554E0;9,898015022E0;1,200000000E1
1,358633025E2;5,594344527E1;-3,386315130E0;3,439845961E1;8,886730957E1;8,899999619E0;2,391999969E2;1,341855693E0;1,003691387E1;1,024888802E1;1,200000000E1
1,368633025E2;5,594340272E1;-3,386427140E0;3,587257056E1;9,034167480E1;9,220000267E0;2,391999969E2;1,350313222E0;9,989005089E0;1,039023781E1;1,500000000E1
